code,manufacturer,description,type,locale,is_generic,source_file
P1106,ACURA,BARO Circuit Range Performance Malfunction,P,en,0,acura_codes
P1107,ACURA,BARO Circuit Low Input,P,en,0,acura_codes
P1108,ACURA,BARO Circuit High Input,P,en,0,acura_codes
P1121,ACURA,Throttle Position Lower Than Expected,P,en,0,acura_codes
P1122,ACURA,Throttle Position Higher Than Expected,P,en,0,acura_codes
P1128,ACURA,MAP Lower Than Expected,P,en,0,acura_codes
P1129,ACURA,MAP Higher Than Expected,P,en,0,acura_codes
P1162,ACURA,HO2S11 Circuit Fault Bank 1 Sensor 1,P,en,0,acura_codes
P1163,ACURA,HO2S11 Slow Response Bank 1 Sensor 1,P,en,0,acura_codes
P1164,ACURA,HO2S11 Circuit Fault Bank 1 Sensor 1,P,en,0,acura_codes
P1165,ACURA,HO2S11 Slow Response Bank 1 Sensor 1,P,en,0,acura_codes
P1166,ACURA,HO2S11 Heater Circuit Fault Bank 1 Sensor 1,P,en,0,acura_codes
P1167,ACURA,HO2S11 Heater Circuit VS+ Fault Bank 1 Sensor 1,P,en,0,acura_codes
P1168,ACURA,HO2S11 Label Circuit Low Voltage Fault Bank 1 Sensor 1,P,en,0,acura_codes
P1169,ACURA,HO2S11 Label Circuit High Voltage Fault Bank 1 Sensor 1,P,en,0,acura_codes
P1201,ACURA,Cylinder 1 Misfire,P,en,0,acura_codes
P1202,ACURA,Cylinder 2 Misfire,P,en,0,acura_codes
P1203,ACURA,Cylinder 3 Misfire,P,en,0,acura_codes
P1204,ACURA,Cylinder 4 Misfire,P,en,0,acura_codes
P1205,ACURA,Cylinder 5 Misfire,P,en,0,acura_codes
P1206,ACURA,Cylinder 6 Misfire,P,en,0,acura_codes
P1241,ACURA,Throttle Vent Control Motor Circuit 1 Malfunction,P,en,0,acura_codes
P1242,ACURA,Throttle Vent Control Motor Circuit 2 Malfunction,P,en,0,acura_codes
P1243,ACURA,Throttle Position Insufficient,P,en,0,acura_codes
P1244,ACURA,Closed Throttle Position Insufficient,P,en,0,acura_codes
P1246,ACURA,Accelerator Position Sensor 1 Circuit Malfunction,P,en,0,acura_codes
P1247,ACURA,Accelerator Position Sensor 2 Circuit Malfunction,P,en,0,acura_codes
P1248,ACURA,Accelerator Position Sensors 1 & 2 Improper Correlation,P,en,0,acura_codes
P1253,ACURA,VTEC System Circuit Fault,P,en,0,acura_codes
